Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",VC.IDP.NWCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Voice and Accountability: Percentile Rank, Lower Bound of 90% Confidence Interval",VA.PER.RNK.LOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,21.8905468,,26.36815834,,40.79602051,39.30348206,33.65384674,30.76922989,45.19230652,38.46154022,37.01922989,36.4928894,35.54502487,35.6807518,43.66197205,44.6009407,46.79803085,42.8571434,38.91625595,37.93103409,37.37863922,38.16424942,37.68115997,38.64734268,40.57971191
Travel services (% of commercial service exports),TX.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,82.85714286,76.82926829,68.68686869,61.34453782,59.2,56.21301775,56.58536585,99.76389412,99.42942357,97.72364786,97.88855101,98.26347628,99.02547789,76.69683213,80.46691646,75.70995162,86.09733191,86.12327113,81.84523415,81.74886264,86.95763593,89.52004902,84.78030202,86.39335377,97.30033021,90.62144189,91.26536422,91.31591114,88.39131862,84.79907944,91.33079169,84.49120981,79.93897515,67.62037042,83.76563086,54.99762239,57.80662555,58.36105738,59.43584086,61.24476093,80.43035211,84.8980371,74.54581897,79.48843935,77.80043723,56.38551806,40.97258847,42.85564564
Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,,,,,,9465756.038,9429999.992,11384999.99,13684999.99,14845207.21,21699111.37,23359721.85,11972445.86,12507231.49,10386554.96,7318487.436,7785593.42,11491123.87,15714469.61,16021197.29,21523497.03,21009098.62,21384212.18,21033164.57,21253282.45,20163831.44,18500300.04,16792292.36,14800565.15,19101384.65,19971815.5,17302337.99,14968130.71,23442624.36,30470236.38,29641111.77,34762882.37,38558540.03,44668776.6,35699044.72,41825450.3,41376800.73,37038329.68,29151245.43,26599017.12,42818625.3,56680105.38,30638938.57,29634436.24,26679252.97,11110529.36,19159288.06,15458095.08
Merchandise exports by the reporting economy (current US$),TX.VAL.MRCH.WL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336169747,279578247,344246805,478670138,538329882,435403844,393587701,343146567,244677453,626616186,503123976,767062925,678206596,349879881,817444149,536480714,637561339,1030101022,1199109047,1092602497,903127045,,
Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000412049,,,0.017826244,0.113525181,0.125592847,0.144101107,0.24673054,0.206907518,0.454149496,0.540644954,0.106430843,0.17895999,,0.003346998,0.031580491,0.000850887,0.00405843,9.51E-05,0.000165093,,
Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),TX.VAL.MRCH.OR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036064221,0.059487461,,0.011116424,0.022701508,0.177240282,0.19718172,0.234276859,0.375298577,0.601539999,1.017523959,1.393277872,0.282904061,0.407659336,0.005824496,0.136466975,0.66128053,0.150767834,0.301785064,0.595320349,1.173104167,,
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007020061,0.052503222,0.0657612,0.097403393,0.047534781,,,,0.255444865,0.104317436,0.442932312,0.192080756,0.176395233,4.113361415,46.93975105,31.42542367,0.257535355,0.329155539,1.235583867,0.223234843,0.17963119,0.192321779,
Fuel exports (% of merchandise exports),TX.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017070808,0.003401302,0.062408445,0.017576576,,,,0.04173917,0.016812999,0.07693768,0.147916137,0.122091719,0.081506274,0.037673442,0.053054224,0.080583697,0.07923486,0.03798923,0.034334458,0.014452161,0.033559778,
Export volume index (2015 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,5.523527272,5.407090487,4.570268437,3.668558405,4.051425936,4.423575946,4.676022169,10.0123537,8.430306312,9.095219648,7.544268182,7.620437128,11.0843518,13.98622087,15.29620676,16.06355921,20.21526102,21.1138132,22.93713744,20.42114189,27.44967142,35.2924415,45.07393984,60.14119457,89.41739897,82.54844065,87.47658288,94.59936092,105.1571619,87.5717546,102.8733785,122.8983704,99.57117003,88.71481983,85.67027405,100,94.95750667,111.5972607,130.5507006,114.0272019,96.63798489,112.3848943,
Transport services (% of commercial service imports),TM.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,51.84466019,56.96969697,57.5862069,58.74251497,60.47120419,59.56730769,65.58823529,2.655355625,2.577831649,2.961717752,3.016374524,3.19832581,3.109697572,4.22958351,4.242540982,3.850277603,4.133054745,3.819108291,3.582171176,2.817823004,3.361073165,3.165027027,4.00572951,4.742270608,4.684676189,7.109549376,8.116018166,10.49393503,9.845084759,10.5908938,11.48044871,10.36284036,12.32826048,12.66358244,11.67005656,16.281482,15.97157816,17.5501704,17.62387194,19.62523763,19.1002655,13.93133879,13.45265413,13.0917664,12.44523745,12.59892074,13.14658274,11.95852477
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.99983912,85.08753131,64.15081345,65.33579384,91.27655261,93.00793364,92.06977842,89.15805848,81.02337902,85.80314579,72.59300313,90.19091625,82.69598463,73.45695007,77.03250272,73.14001919,74.62324777,68.60102258,84.40184496,80.85309783,77.35460626,,
Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093865783,0.136666656,0.338075997,0.420320063,0.025218448,0.014186827,0.016022112,0.021708764,0.03729095,0.019350749,1.830965742,0.613243559,0.626523721,2.454813273,1.678979347,2.451299737,3.239709028,3.060878463,1.417717038,2.328105139,3.829362119,,
Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.837029544,0.487229573,3.913878442,2.508584564,0.12453651,0.038487807,0.043424352,0.059049688,0.101913692,0.137227166,3.00700525,0.438376142,2.900118941,4.246569059,3.465400963,6.501732077,5.436072143,17.45749312,5.057172727,4.233768182,9.204337856,,
Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015123777,0.005878374,0.051336858,0.014114202,0.002656376,8.42E-05,9.34E-05,0.000134669,0.000249494,0.007228846,0.079809108,0.016483166,0.060687819,0.301234887,0.223064328,0.532122959,0.891631501,0.060928259,0.073518501,0.049711075,0.156574074,,
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.73076205,1.393057996,2.796207412,1.832745218,1.063123875,,,,2.726360266,2.743924361,5.633497998,2.081218179,3.002796813,2.725083524,1.985014386,2.45804866,3.273676763,2.668706875,3.39314156,2.977219094,2.604559342,,
Import unit value index (2015 = 100),TM.UVI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,73.73006456,73.73006456,67.83165939,72.99276391,60.45865294,46.44994067,53.82294713,67.09435875,69.30626068,67.09435875,75.20466585,91.42528005,89.95067876,87.00147618,86.26417553,91.42528005,84.78957424,84.78957424,77.41656779,78.15386843,73.73006456,72.52609933,71.72859851,76.46625132,82.26343322,84.23398134,86.7535393,90.83169596,102.0591352,93.60409673,101.113208,118.1711246,115.8337752,114.5015758,112.9495116,100,96.77654274,102.7205475,109.4062752,107.8842957,106.3774064,131.3948923,
"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,,,6.1,6.52,6.48,6.52,6.33,6.26,6.24,6.19,6.2,6.15,6.02,6.17,6.24,6.22,6.22,10.82,6.12,,
"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.92,99.92,,
"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.46,,,7.99,8.07,8.03,7.84,7.79,7.77,7.69,7.67,7.6,7.59,7.56,7.6,7.67,7.82,7.87,10.18,7.82,,
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,99.96,99.96,99.96,99.98,99.98,99.98,99.98,99.98,100,100,100,100,100,100,100,99.98,99.98,,
"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.96,,,8.56,8.53,8.5,8.25,8.24,8.23,8.13,8.13,8.1,8.11,8.11,8.12,8.19,8.4,8.46,10,8.43,,
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,99.95,99.95,99.95,99.97,99.97,99.97,99.97,99.97,100,100,100,100,100,100,100,100,100,,
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17000000,16000000,17000000,16000000,17000000,195000000,166000000,164000000,242000000,278000000,271000000,263000000,276000000,248000000,247000000,278000000,300000000,252000000,212000000,177000000,180000000,262000000,307000000,347000000,323000000,277000000,,
"International tourism, receipts for passenger transport items (current US$)",ST.INT.TRNR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,1700000.048,1720000.029,699999.9881,100000.0015,,,,,,,,,,,,,,,,,,,,,,,
"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209000,312000,313000,290000,308000,302000,295000,287000,329000,304000,304000,357000,300000,293000,344000,426000,398000,423000,433000,1079000,1082000,1196000,1137000,1173000,1142000,,,
Urban population growth (annual %),SP.URB.GROW,,15.08097688,15.05931996,14.98837713,14.88919005,14.80731094,13.5779512,8.41083161,8.592622152,8.525579303,8.441751825,8.379967797,8.165531233,7.887211539,7.882196029,7.824804456,6.809135215,3.501079341,3.323653268,3.312338281,3.316628913,3.312840132,3.306530287,3.295127994,3.290635882,3.243180544,3.924217109,6.356447937,6.036813727,5.887128484,5.747357366,5.613042205,5.480778498,5.316920966,5.173598661,5.042328249,4.649561937,3.574336162,3.333140135,3.093744399,2.863287473,2.662527248,2.509895911,2.362307956,2.193597113,2.147418679,2.501426635,2.436485119,2.669853477,2.773902148,2.731131429,2.779002371,2.377586057,2.463788665,2.546553805,2.625329281,2.698109665,2.740257383,2.768379164,2.774465325,2.805682831,2.751412734,2.620828123
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Completeness of birth registration, male (%)",SP.REG.BRTH.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9,,,,,42.4,,,,45.5,,,,
"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,55.94385217,55.79245494,55.6506402,55.51760021,55.39471239,55.28469461,55.19276537,54.84910052,54.26498858,53.71385421,53.20352796,52.733095,52.29903704,51.89749135,51.52237297,51.19587561,50.97168434,50.85562427,50.7935244,50.74420144,50.69881336,50.6566144,50.61599746,50.57487563,50.53325341,50.51571197,50.57919873,50.65944098,50.70175165,50.74198216,50.78068502,50.81778772,50.85512188,50.89595317,50.93800932,50.98100957,51.02506371,51.05580055,51.07318098,51.08680336,51.09379925,51.0948635,51.09339816,51.09285861,51.0944986,51.09900557,51.1093799,51.07758393,51.03297521,51.00850152,50.97004222,50.92573553,50.87627597,50.82878522,50.78735535,50.75540908,50.72961445,50.70701096,50.68700561,50.66922706,50.65946497,50.65874657,50.66858933
Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.911829948,7.431819916,9.97039032,,,,,23.01355934,,5.93874979,,,,24.11339951,,,,,,,
Age dependency ratio (% of working-age population),SP.POP.DPND,98.37207989,98.37808102,98.2108305,97.62813702,96.44974873,95.98181027,96.39979826,95.97586672,94.68343725,93.14865214,91.45372851,89.71637744,88.0155794,86.39697072,84.93962633,83.75919605,82.97121921,83.14706419,83.96346747,84.71982706,85.48687189,86.25401298,86.97516836,87.6163306,88.19365944,88.41623876,87.66025188,87.04448271,87.17634523,87.1849031,86.95373846,86.50056526,85.88145632,85.12238059,84.20886701,83.20433459,82.22827445,81.11760466,79.82895936,78.52556212,77.25721067,76.10357972,75.03174176,74.02111274,73.08699579,72.1792858,71.25802455,70.16540695,69.13176247,68.36441401,67.60280726,66.82292763,66.10165518,65.53121999,65.15524376,64.77760882,64.32885209,63.84023091,63.300822,62.82093956,62.43892596,62.09137975,61.74848937
"Population ages 75-79, male (% of male population)",SP.POP.7579.MA.5Y,0.653719433,0.620740399,0.587784823,0.555395028,0.524316487,0.495776669,0.470945183,0.450105748,0.435355202,0.427432203,0.423945122,0.422678313,0.420714757,0.416920282,0.411993531,0.406876636,0.404200766,0.403919568,0.40432491,0.404882017,0.404971765,0.4049728,0.406105321,0.409192621,0.414779674,0.423306415,0.434788704,0.448724181,0.464080964,0.479932448,0.496129389,0.512728469,0.529254041,0.545231064,0.560113676,0.572639458,0.581248407,0.586351101,0.589597637,0.591830626,0.593992147,0.597180229,0.601734728,0.607499072,0.614647837,0.622195196,0.627806635,0.63198227,0.635941196,0.639678886,0.642549426,0.64196637,0.635951311,0.624595195,0.609528723,0.592183901,0.573751247,0.558337325,0.54640221,0.535768526,0.526081542,0.515457965,0.506419141
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.472187662,4.399752923,4.339916476,4.289073242,4.245370945,4.205961385,4.1692713,4.123740509,4.067975351,4.012667159,3.958107694,3.904313606,3.852933081,3.806780633,3.765030386,3.731478893,3.712916695,3.709919772,3.717851207,3.731527818,3.749558225,3.773435657,3.801601587,3.829498324,3.855162538,3.878463311,3.898980174,3.923242683,3.952742435,3.981231306,4.009039481,4.036983683,4.065978767,4.097555103,4.133584418,4.172452152,4.212015002,4.25737176,4.310426014,4.366544097,4.420478027,4.466877022,4.501801847,4.524643382,4.534765063,4.525660658,4.483402301,4.422059376,4.350797626,4.277290761,4.219608285,4.175270216,4.147357448,4.144216427,4.171593503,4.178883329,4.158690444,4.15303575,4.162137963,4.187106851,4.210948937,4.207820055,4.195417216
"Population ages 65 and above, female (% of female population)",SP.POP.65UP.FE.ZS,5.171219187,5.122814456,5.085652063,5.055502562,5.030284932,5.005566998,4.977715377,4.958131663,4.944101373,4.923267693,4.895707842,4.86163172,4.823672512,4.785921773,4.747031145,4.711275003,4.685079819,4.668054599,4.658517828,4.654888965,4.656611181,4.665839306,4.680780176,4.695182654,4.707036593,4.715646353,4.717337922,4.725833896,4.74657948,4.767433237,4.788775563,4.810611418,4.833221534,4.859362756,4.890762122,4.924582599,4.958151624,4.998828338,5.049061806,5.102351307,5.152539817,5.195778305,5.229284897,5.251616426,5.259105806,5.243385461,5.188900546,5.117581535,5.037348433,4.957471701,4.903760398,4.869557927,4.859120842,4.880245656,4.937986201,4.978500619,4.990446662,5.014698073,5.051841899,5.10411919,5.154718171,5.175311582,5.18321466
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,2.00268871,1.972664234,1.943382428,1.917488136,1.895440382,1.881325572,1.885540336,1.873813727,1.84283161,1.826619327,1.826273323,1.840621831,1.866945615,1.902730805,1.943784602,1.984934613,2.020435676,2.050487195,2.075361522,2.092483655,2.101371904,2.101588319,2.094537509,2.082651621,2.069015586,2.054657964,2.036125315,2.025193689,2.029074529,2.040588901,2.059394356,2.085255069,2.116030792,2.148467456,2.181194987,2.209709029,2.225151121,2.231003276,2.226276621,2.204217959,2.168848867,2.125898212,2.079892479,2.031785082,1.982362862,1.929203256,1.866140347,1.837102641,1.834172127,1.841318187,1.830446608,1.790345654,1.77103375,1.760182706,1.747800581,1.772909264,1.835994524,1.893430845,1.942876175,1.983732492,2.005916282,2.006532836,1.994599544
"Population ages 50-54, male (% of male population)",SP.POP.5054.MA.5Y,2.605494935,2.63978179,2.689930934,2.753359042,2.82743914,2.915125218,3.031167597,3.134350841,3.20120867,3.255001744,3.292177633,3.312759995,3.322251837,3.328222894,3.3356997,3.344728126,3.348535503,3.345796493,3.346576749,3.359705044,3.386172026,3.424382793,3.470669945,3.519717598,3.565845952,3.599135762,3.600401568,3.577625466,3.541944542,3.487164464,3.418865679,3.345821377,3.273349749,3.201666368,3.131697388,3.061706674,2.991045506,2.93926486,2.928791263,2.965662957,2.941672959,2.843342839,2.764745111,2.691965193,2.614467603,2.613085386,2.678589905,2.772374568,2.858997122,2.897425842,2.936720603,2.975775882,3.009944975,3.03839895,3.057147803,3.063482919,3.061079586,3.061415704,3.070508258,3.087875602,3.104789221,3.121307846,3.136712948
"Population ages 40-44, male (% of male population)",SP.POP.4044.MA.5Y,3.170462341,3.223212361,3.276997369,3.336120959,3.404294773,3.497344332,3.647028659,3.802941655,3.943434798,4.1073512,4.286011064,4.472705061,4.661106812,4.845428293,5.017458171,5.158993574,5.2367537,5.240815133,5.193098158,5.112784854,5.012399153,4.905876201,4.802790631,4.702938717,4.605493518,4.49874783,4.355628268,4.226107361,4.168948169,4.182965988,4.124774339,3.980577777,3.87382426,3.784268658,3.696984955,3.729909099,3.880333115,4.021803022,4.143704131,4.238257703,4.302913487,4.338415425,4.347619138,4.336619016,4.307478404,4.263120366,4.198052687,4.167991348,4.159490469,4.138737121,4.146901571,4.186206748,4.243407169,4.308623277,4.39461966,4.511352428,4.658504166,4.831804853,5.022333527,5.217242411,5.401754205,5.570010784,5.723709919
"Population ages 30-34, male (% of male population)",SP.POP.3034.MA.5Y,4.162116267,4.320061836,4.481015168,4.636117625,4.776493637,4.898361883,4.996392814,5.143136038,5.326935122,5.467173885,5.572357233,5.663090951,5.753589545,5.844297894,5.931039566,5.995828461,6.008468737,5.938222864,5.866642241,5.889772725,5.804763407,5.59751514,5.442423517,5.308993313,5.173566919,5.201487729,5.397158421,5.578304248,5.724757225,5.841332207,5.929158415,5.992482724,6.035893803,6.067261726,6.088175899,6.099258912,6.097964717,6.093866929,6.097106566,6.108013959,6.125147577,6.152812484,6.180205144,6.199486219,6.236183169,6.316835052,6.449516793,6.626873854,6.829982849,7.035756592,7.231693391,7.412839027,7.584009178,7.758042049,7.937014395,8.11060937,8.26791594,8.422584904,8.567974142,8.670387825,8.727954432,8.752436266,8.721125735
"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,7.719580512,7.578205709,7.459019573,7.362109779,7.280232516,7.183562157,7.014280435,7.007308946,7.260738188,7.623798428,7.774241132,7.69553987,7.655976843,7.607994252,7.517061095,7.626114909,7.942869712,8.185050024,8.352587809,8.488284746,8.581712654,8.638696359,8.663172029,8.659216585,8.624988676,8.604376312,8.69290922,8.77842402,8.783959284,8.798359441,8.824620576,8.869252296,8.921499823,8.971956459,9.043694307,9.153265701,9.291985028,9.460025635,9.651110128,9.840965382,10.01561199,10.16863093,10.30651774,10.44736308,10.59937948,10.76046597,10.93914906,11.08383027,11.21155371,11.32561296,11.35515161,11.31078843,11.18670952,10.98314784,10.74424087,10.52204778,10.33556945,10.17956237,10.03765539,9.893798064,9.753817935,9.624295326,9.515062244
"Population ages 15-64, male (% of male population)",SP.POP.1564.MA.ZS,44.87360912,45.12972969,45.41345368,45.79161156,46.31641465,46.56842992,46.50555406,46.97802496,47.97235753,49.00730538,50.0454637,51.05005869,51.9961979,52.87372945,53.66428538,54.31095484,54.7281344,54.74662477,54.52104253,54.29905357,54.07061105,53.84213131,53.63494873,53.45913197,53.30593406,53.22823484,53.33710845,53.42197669,53.37012987,53.35780386,53.41618344,53.53908784,53.70746069,53.91377184,54.16588881,54.44515466,54.71693187,55.02880744,55.39994442,55.79113392,56.18704307,56.56082684,56.92020528,57.26767508,57.59166806,57.90257187,58.20308135,58.61276156,59.01979581,59.31229821,59.63196463,59.97497936,60.31218978,60.60049197,60.81574049,61.02063058,61.24123587,61.46963095,61.710375,61.92473192,62.09074929,62.22903479,62.35421384
"Population ages 15-19, male (% of male population)",SP.POP.1519.MA.5Y,10.78775499,10.75608143,10.74593069,10.82547982,11.04988263,10.97689062,10.50118522,10.1901049,10.04919112,9.856964936,9.927268514,10.24308744,10.49732993,10.67663736,10.76966008,10.79570918,10.80628313,10.79437515,10.75464569,10.69652313,10.61543316,10.51914223,10.43527416,10.38060202,10.35041044,10.37791332,10.53849066,10.67985024,10.71510472,10.76691539,10.85939481,10.98573674,11.13541086,11.29718117,11.44934014,11.57598733,11.67441943,11.7686601,11.88279071,12.01155777,12.14005979,12.255975,12.37458742,12.48822756,12.56201965,12.58940857,12.57899965,12.47754054,12.28971075,12.07252302,11.84146246,11.6233464,11.42493119,11.23687892,11.04968411,10.85902131,10.66346112,10.4872367,10.36033023,10.26312086,10.17105967,10.08640861,10.02917372
"Population ages 05-09, male (% of male population)",SP.POP.0509.MA.5Y,16.19747557,16.48143056,16.71659461,16.89176048,17.00010884,17.05645927,17.09781131,16.91891468,16.50713202,16.05631739,15.58648178,15.11042533,14.67199725,14.29958766,13.98426264,13.72909598,13.56142269,13.54926538,13.63331387,13.74351985,13.90960218,14.1118845,14.322049,14.51238981,14.65310709,14.69403877,14.56472061,14.42776781,14.39224289,14.37028612,14.34963626,14.32272276,14.31400071,14.31906602,14.29108629,14.22015978,14.12254519,13.93824203,13.65992115,13.36970295,13.11156331,12.90924793,12.75696048,12.63472906,12.52921714,12.42668536,12.32492809,12.18445329,12.076229,12.03798147,11.98096299,11.89330328,11.80586791,11.71717835,11.62861517,11.57375412,11.56534071,11.56302207,11.56061605,11.58134369,11.60886004,11.62492072,11.61946432
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,51.54185496,51.38306491,51.18239433,50.87587935,50.41298993,50.21422128,50.32100187,49.91184676,48.99919927,48.03675326,47.0623975,46.11365505,45.21518165,44.37587812,43.61436352,42.9853794,42.5696455,42.53495488,42.7321128,42.92068243,43.11259814,43.30058782,43.46456136,43.59719316,43.70914282,43.74793362,43.60144999,43.47882622,43.49356499,43.47085078,43.37924761,43.22328222,43.02050339,42.77828062,42.48665723,42.16462778,41.8484232,41.48726647,41.06066844,40.61082703,40.15728617,39.73383321,39.33800479,38.96714386,38.63032815,38.32175346,38.0510316,37.69134017,37.34492376,37.11859534,36.85964996,36.57023254,36.27760924,36.01613288,35.80358143,35.62463516,35.45646383,35.26371251,35.04198002,34.83005459,34.66729906,34.55647074,34.46494121
"Population ages 00-04, male (% of male population)",SP.POP.0004.MA.5Y,20.28160695,20.21687266,20.1118386,19.97921783,19.81948571,19.65285234,19.50344002,19.09966799,18.4828072,17.95499551,17.52090756,17.19108054,16.93300471,16.7135149,16.55977065,16.50124843,16.55421282,16.71452028,16.89959048,17.0215811,17.06039922,17.01844814,16.91962652,16.79990216,16.67233112,16.53907475,16.43572009,16.36856103,16.2956008,16.18558537,16.03374312,15.85423997,15.62635146,15.3371079,15.01948477,14.71458738,14.44531012,14.21748644,14.02811088,13.86260467,13.70560661,13.55551567,13.43526195,13.37390509,13.35200896,13.33916593,13.34214556,13.28729198,13.21432063,13.19156739,13.16185238,13.14343516,13.10813649,13.06006538,13.03508936,13.01553692,12.96892721,12.87246048,12.73294748,12.57168437,12.42221393,12.28144671,12.15502641
Women who were first married by age 15 (% of women ages 20-24),SP.M15.2024.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,2.3,,,,,1,,,,1,,,,
"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,51.104377,51.229518,51.265362,50.893548,51.009519,50.908693,51.091508,51.312961,51.898623,52.241437,52.781394,53.291542,53.985925,54.74207,54.726441,56.165806,57.311708,58.123934,59.195708,60.282398,61.479923,62.724844,63.44664,64.116459,64.842417,65.326667,65.81129,65.408722,65.093156,63.786826,63.066664,61.581587,60.239257,58.815967,59.312489,56.009098,52.087835,47.602371,42.759928,37.79618,33.399529,29.357448,26.719318,24.446152,22.485083,21.616207,21.525688,22.185409,22.679879,22.697479,26.32591,28.37059,30.753866,33.400729,35.91278,38.27728,40.570349,42.383689,43.979116,45.118613,45.723761,41.875328,
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,53.519,53.618,53.633,53.467,53.479,53.436,53.533,53.689,54.036,54.324,54.715,55.111,55.594,56.124,56.333,57.215,57.989,58.634,59.398,60.174,60.952,61.836,62.42,62.955,63.5,63.95,64.348,64.388,64.458,64.109,63.928,63.438,62.923,62.3,62.331,60.879,59.157,57.218,55.12,52.92,50.916,49.02,47.743,46.633,45.93,45.428,45.302,45.619,46.075,46.107,48.176,49.261,50.486,51.753,52.807,53.86,55.096,55.9,56.591,57.053,57.537,55.927,
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,28.6,,,,,30.4,40.6,38,,37.3,37.3,,,,47,47,63.4,,,60.2,,,,64.9,,,,
"Mortality rate, adult, male (per 1,000 male adults)",SP.DYN.AMRT.MA,449.948,450.426,451.394,452.632,455.639,461.091,457.968,457.696,458.486,453.482,450.484,450.184,444.41,442.216,441.968,439.186,441.387,439.003,436.71,433.061,426.713,416.503,407.817,403.764,398.417,393.775,393.153,399.947,402.293,404.576,410.435,412.26,433.76,443.477,436.254,462.126,492.519,526.815,566.706,600.707,636.149,670.047,700.356,724.949,746.713,756.004,767.861,768.473,758.65,752.694,735.933,711.226,684.938,655.398,623.903,593.377,568.273,546.7,529.304,516.418,504.362,552.668,
Prevalence of severe food insecurity in the population (%),SN.ITK.SVFI.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,29,30.9,32.8,
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),SH.STA.ORCF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,52.9,53,,,,47.6,,,,,61.4,,,,54.5,,,,
"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397,,,,,,,,690,,706,,,954,,,,,649,,,,,,,,
"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,11,,,,,8.5,,,,9.1,,,,
